"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","SoundFile","ParrotSoundFile","i32"
667,"Templar109","This desecrated house of faith will unearth its secrets at last.","Cette maison de la foi, profanée, va enfin dévoiler ses secrets.","Dieses entweihte Haus des Glaubens wird endlich seine Geheimnisse offenbaren.","この汚された信仰の家の秘密が暴かれる時が来た。","마침내 이 더럽혀진 신앙의 장소가 그 비밀을 드러낼 것이다.","Esta casa profanada de fé vai finalmente desenterrar seus segredos.","Этот осквернённый дом веры наконец раскроет свои секреты.","Esta profanada casa de fe exhumará finalmente sus secretos.","สถาน​ศรัทธา​ที่​เสื่อม​สลาย​แห่ง​นี้​จะ​เผย​ความ​ลับ​ออก​มา​เสียที","這個被褻瀆的信仰之家最終會揭開它的秘密。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_38.ogg","",10000
668,"Templar110","A vision of dreams, ephemeral in my sight...","Une vision de rêve, fugace au regard...","Eine Vision von Träumen, flüchtig vor meinen Augen...","儚く消えゆく、夢の幻想…...","꿈의 환영이 찰나에 스러지는구나...","Uma visão de sonhos, efêmera aos meus olhos...","Видение мечты, эфемерное в моих глазах...","Una visión de sueños, efímera ante mis ojos…","นิมิต​แห่ง​ฝัน​อัน​ไม่​จีรัง​ยั่ง​ยืน...","夢想的願景，在我的視野中轉瞬即逝...","Audio/Dialogue/Character/StrInt/Event/Temp1_2_39.ogg","",10000
669,"Templar111","Ha! The toymaker hides among his toys.","Ha ! Le fabricant de jouets se dissimule parmi eux.","Ha! Der Spielzeugmacher versteckt sich hinter seinem Spielzeug.","ハッ！玩具職人はおもちゃの中に隠れているようだ。","흥! 자신이 만든 장난감 속에 숨었군.","Ha! O criador se esconde entre suas criações.","Ха! Кукловод прячется среди своих кукол.","¡Ja! El juguetero se esconde entre sus juguetes.","ฮ่า​! คน​ทำ​ของ​เล่น​แอบ​อยู่​ท่ามกลาง​ของ​เล่น​ของ​เขา​นี่เอง","哈！玩具製造商躲在他的玩具中。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_40.ogg","",10000
670,"Templar112","A veil of lies and dreams draws itself over my sight.","Un voile de mensonges et de rêves se dresse devant mon regard.","Ein Schleier aus Lügen und Träumen türmt sich vor mir auf.","嘘と夢のベールが我が視界を遮る。","거짓과 꿈의 장막이 내 시야를 흐리고 있다.","Um véu de mentiras e sonhos se estende sobre a minha visão.","Пелена лжи и мечтаний застилает мне глаза.","Un velo de mentiras y sueños se desenvuelve ante mis ojos.","สายตา​ข้า​ถูก​บดบัง​ไป​ด้วย​คำ​ลวง​และ​ความ​ฝัน","謊言和夢想的面紗將自己籠罩在我的視線中。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_41.ogg","",10000
671,"Templar113","Evil may hide, but the light will find it.","Le mal aura beau se cacher, la lumière le trouvera.\r\n","Das Böse kann sich verstecken, aber das Licht wird es finden.","悪が隠れようとも、光はそれを見つけ出す。","악이여, 숨을 테면 숨어보아라. 빛이 너를 찾아낼 테니.","O mal pode se esconder, mas a luz o encontrará. ","Зло может скрыться, но свет найдёт его.","El mal puede ocultarse, pero la luz lo encontrará.","ความ​ชั่ว​ช้า​อาจ​ซ่อน​เร้น แต่​มัน​ไม่​อาจ​เร้น​กาย​จาก​แสง​สว่าง","邪惡可能會躲藏，但光明終究會發現它。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_42.ogg","",10000
672,"Templar114","The fires of greed burn eternal in the hearts of the unworthy.","Les feux de l'avidité brûlent éternellement dans les cœurs des indignes.","Die Flammen der Gier brennen ewig in den Herzen der Unwürdigen.","卑しき者の心には強欲の炎が永劫に燃え続ける。","불초한 자들의 심장 속에서는 탐욕의 불길이 영원토록 타오른다.","As chamas da ganância queimam eternamente nos corações dos indignos. ","Пламя алчности вечно горит в сердцах недостойных.","Las llamas de la codicia arden eternamente en los corazones de los indignos.","เพลิง​แห่ง​ความ​โลภ​ย่อม​ลุก​โชน​ชั่ว​นิ​รัน​ดร์​ใน​ใจ​ของ​เหล่า​ผู้​ที่​ไม่​คู่ควร","貪婪之火在不配之人的心中永遠燃燒。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_43.ogg","",10000
673,"Templar115","This pretender shall now serve the cause.","Cet usurpateur servira la cause, désormais.","Dieser Heuchler soll nun der Sache dienen.","この偽物はこれから役に立つことになる。","이 참칭자는 이제 대의를 섬기게 될 것이다.","O impostor agora deve servir à causa. ","Этот притворщик теперь послужит правому делу.","Este impostor servirá a la causa desde ahora.","ผู้​แอบ​อ้าง​ได้​รับ​ใช้​อุดมการณ์​ของ​เรา​เสีย​แล้ว","這個偽裝者現在應該為此負責。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_44.ogg","",10000
674,"Templar116","Greust, if you find your gods lacking, the true Lord still awaits.","Greust, si tu estimes que tes dieux t'ont failli, sache que le vrai Seigneur t'attends toujours.","Greust, wenn dir deine Götter fehlen, wartet der wahre Herr immer noch auf dich.","グルースト、其方の神々に不満があれば、真なる主は未だ待っておるぞ。","그루스트, 그대의 신에 만족하지 못하나? 진정한 주인께서는 아직 기다리고 계신다네.","Greust, se achar seus deuses insuficientes, o verdadeiro Senhor ainda aguarda. ","Груст, если вдруг тебе не будет хватать твоих богов, истинный Господь всё ещё ждет тебя.","Greust, si ves que tus dioses no son suficientes, el verdadero Señor aún te espera.","กรูสท์ หาก​เจ้าคิด​ว่า​ทวย​เทพ​ของ​เจ้า​นั้น​ยัง​ไม่​ดีพอ เทพ​อัน​เที่ยง​แท้​ยัง​รอ​เจ้าอยู่","古斯特，如果你發現你缺乏神，真正的主仍在等待。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_45.ogg","",10000
675,"Templar117","Perhaps these tales are more than just myths.","Peut-être que ces légendes sont plus que de simples mythes.","Vielleicht sind diese Märchen doch mehr als nur Mythen.","これらの物語はただの神話ではないのかもしれない。","이 이야기들이 그저 신화에 불과한 건 아닐지도 모르겠군.","Talvez estes contos sejam mais que meros mitos. ","Возможно, эти сказки – больше, чем просто мифы.","Quizás estas historias son más que mitos.","นิทาน​เหล่า​นี้​อาจ​มิใช่​เพียง​เรื่อง​ปรัมปรา​ก็​เป็น​ได้","也許這些故事不僅僅是神話。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_46.ogg","",10000
676,"Templar118","Gruthkul, go to your children, and despair no longer.","Gruthkul, retourne auprès de tes enfants, et que ton désespoir prenne fin.","Gruthkul, auf zu deinen Kindern, und verzweifle nicht länger.","グラスクル、子供の下へ行け。もう絶望せずとも良い。","그루스컬, 이제 절망하지 말고 아이들에게 가보게.","Gruthkul, vá aos seus filhos, e não sofra mais. ","Груткул, иди к своим детям и больше не знай отчаяния.","Gruthkul, ve hacia tus hijos, y acaba con tu desesperación.","กรัธท์คัล จง​ไป​หา​ลูกๆ ของ​เจ้า แล้ว​คลาย​ความ​สลด​เสีย​เถิด","葛魯斯寇，去找你的孩子，不要再絕望了。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_47.ogg","",10000
677,"Templar119","I have seen this place in my visions of doom.","J'ai vu cet endroit dans mes visions de fin du monde.","Ich habe diesen Ort in meinen Visionen des Untergangs gesehen.","我が破滅の予知の中でこの場所を見たことがある。","이곳은 종말에 대한 환영에서 본 적이 있어.","Eu já vi este lugar nas minhas visões de destruição.","Я видел это место в своих видениях Рока.","He visto este lugar en mis visiones de fatalidad.","ข้า​เคย​เห็น​ที่​แห่ง​นี้​ใน​นิมิต​แห่ง​หายนะ","我在厄運的幻像中看到過這個地方。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_48.ogg","",10000
678,"Templar120","I bear witness to a miracle.","Je suis témoin d'un miracle.","Ich bin Zeuge eines Wunders.","我は奇跡の目撃者だ。","내 눈앞에서 기적이 일어났군.","Eu sou testemunha de um milagre. ","Я являюсь свидетелем чуда.","Soy testigo de un milagro.","ข้า​ได้​เป็น​สักขี​พยาน​ต่อ​อภินิหาร​นี้","我見證了奇蹟。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_49.ogg","",10000
679,"Templar121","Deeper into the lair of Lust... I shall stand strong against temptation.","Toujours plus profondément dans la tanière de la Luxure... je dois rester fort face à la tentation.","Tiefer in die Höhle der Lust... Ich werde der Versuchung widerstehen.","色欲の巣窟へと進んでいく...…我は誘惑に屈しない。","욕망의 소굴 깊숙이 들어가도... 나는 유혹에 무릎 꿇지 않으리라.","Nas profundezas do covil da Luxúria... Eu me manterei forte diante da tentação. ","Глубже в логово Похоти... Я буду стойко противостоять искушению.","En lo profundo de la guarida de la Lujuria… me mantendré fuerte frente a la tentación.","ถลำ​ลึก​เข้าไป​ใน​แดน​แห่ง​ตัณหา​... ข้า​ย่อม​ยืน​หยัด​ต่อ​การ​ยั่วยวน","深入慾望的巢穴…我堅強地抵抗誘惑。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_50.ogg","",10000
